learning_path_name,skill,skill_level,prerequisite,description
Android Developer,Kotlin (Programming Language),Beginner,,"Bahasa utama pengembangan Android modern dengan sintaks ringkas, aman, dan interoperable dengan Java."
Android Developer,Java (Programming Language),Beginner,,Bahasa lama Android yang tetap digunakan pada banyak kode proyek dan sejumlah library.
Android Developer,XML Layouting (UI Framework),Beginner,,Sistem UI tradisional Android untuk membangun tampilan aplikasi menggunakan XML.
Android Developer,Jetpack Compose (UI Framework),Intermediate,Kotlin,Framework UI deklaratif modern yang menggantikan XML dan memudahkan pembuatan UI modular dan reaktif.
Android Developer,Android Jetpack (Application Framework),Intermediate,Kotlin,"Kumpulan library seperti ViewModel, Room, Navigation, WorkManager yang mendukung arsitektur modern."
Android Developer,Retrofit (Networking Library),Intermediate,"Kotlin, OkHttp",Library untuk komunikasi REST API secara efisien dengan parsing data otomatis.
Android Developer,OkHttp (HTTP Client Library),Beginner,Kotlin,"Library HTTP low-level untuk logging, caching, dan intercepting."
Android Developer,Room Database (Database Framework),Intermediate,"Kotlin, Android Jetpack",ORM modern untuk SQLite dengan verifikasi query dan integrasi LiveData/Flow.
Android Developer,Hilt (Dependency Injection Framework),Intermediate,"Kotlin, Android Jetpack",Framework DI resmi Android untuk modularitas dan skalabilitas aplikasi besar.
Android Developer,Kotlin Coroutines (Asynchronous Library),Intermediate,Kotlin,Library untuk concurrency asinkron yang menjaga aplikasi tetap responsif.
Android Developer,Kotlin Flow (Reactive Stream Library),Intermediate,"Kotlin, Kotlin Coroutines",Library untuk aliran data reaktif yang terintegrasi dengan arsitektur Android.
Back-End Developer JavaScript,JavaScript (Programming Language),Beginner,,Bahasa inti untuk membangun backend Node.js.
Back-End Developer JavaScript,Node.js (Runtime Framework),Beginner,JavaScript,Runtime JavaScript untuk membangun backend modular dan scalable.
Back-End Developer JavaScript,Express.js (Backend Framework),Intermediate,Node.js,Framework minimalis untuk REST API dan web service.
Back-End Developer JavaScript,PostgreSQL (Database Tool),Intermediate,Node.js,Database relational untuk backend skala kecil hingga enterprise.
Back-End Developer JavaScript,Prisma ORM (Database Framework),Intermediate,"JavaScript, PostgreSQL",ORM modern untuk manajemen database dengan schema otomatis.
Back-End Developer JavaScript,Redis (Caching Tool),Intermediate,Node.js,Tools untuk caching dan penyimpanan in-memory berkecepatan tinggi.
Back-End Developer JavaScript,Docker (Containerization Tool),Intermediate,Node.js,Tools untuk containerizing aplikasi dan service backend.
Back-End Developer JavaScript,Kubernetes (Container Orchestration Framework),Advanced,Docker,Framework orkestrasi container untuk deployment skala besar.
Back-End Developer JavaScript,Framework Backend Model Serving,Advanced,"Node.js, Docker",Framework untuk deployment model machine learning di lingkungan backend.
Back-End Developer JavaScript,Framework Workflow Orchestration,Advanced,"Node.js, Docker",Framework untuk mengelola pipeline kerja otomatis di backend.
Back-End Developer Python,Python (Programming Language),Beginner,,"Bahasa inti untuk backend berbasis Django, Flask, atau FastAPI."
